symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,timeframe,scan_date,ttm_squeeze_d.momentum,ttm_squeeze_d.momentum_prev,bb_30_20_d.upper,atr_5_d.value,swing_trend_w.color,swing_trend_w.color_prev,atr_5_w.value,trig_20_8_w.plot1,trig_20_8_w.plot2,sma_40_w.value,rsqueeze_atr14_w.momentum,rsqueeze_atr14_w.momentum_prev,supertrend_5_023_w.direction,donchian_14_d.mean,sma_40_d.value,donchian_14_d.mean_prev,trig_20_8_d.plot1,trig_20_8_d.plot2,rsqueeze_4_d.momentum,rsqueeze_20_d.momentum,cci_14_6_w.cci_short,cci_14_6_w.cci_long
XLE,ETF Squeeze Sell,sell,81%,2026-02-05,Open,04/17/26,ATR5 x 1.0,1.2637,52.5,51.24,n/a,54.88,-2.38,2026-02-06,,open,daily,2026-02-05,3.1107,3.1274,52.7756,1.2637,,,,,,,,,,,,,,,,,,
XLI,ETF Squeeze Sell,sell,88%,2026-02-05,Open,04/17/26,ATR5 x 1.0,2.382,169.89,167.51,n/a,177.23,-7.34,2026-02-06,,open,daily,2026-02-05,3.5801,3.953,171.0594,2.382,,,,,,,,,,,,,,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-05,Open,04/17/26,ATR5 x 1.0,4.1947,142.42,138.23,n/a,151.86,-9.44,2026-02-06,,open,daily,2026-02-05,7.6736,7.8474,142.7849,4.1947,,,,,,,,,,,,,,,,,,
FXI,Weekly 10.5 Squeeze Buy,buy,87%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.3966,38.8,39.57,n/a,38.81,0.01,2026-02-06,2026-02-10,2,weekly,2026-02-05,,,,,,,1.3966,,,38.3822,-0.6886,-0.7758,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,17.4921,600.19,609.81,n/a,608.81,8.62,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,gold,gold,17.4921,,,,,,,,,,,,,,,
UNG,Weekly Swing Trend Buy Setup 1,buy,81%,2026-02-05,Open,04/17/26,Weekly ATR5 x 0.55,2.3113,13.69,14.96,n/a,12.01,-1.68,2026-02-06,,open,weekly,2026-02-05,,,,,gold,red,2.3113,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.5367,50.86,51.71,n/a,52.96,2.1,2026-02-06,2026-02-09,1,weekly,2026-02-05,,,,,gold,gold,1.5367,,,,,,,,,,,,,,,
VNQ,Weekly Swing Trend Buy Setup 2,buy,90%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,2.2756,91.53,92.78,n/a,94.88,3.35,2026-02-06,2026-02-10,2,weekly,2026-02-05,,,,,,,2.2756,89.8261,89.5813,90.1715,,,,,,,,,,,,
QQQ,Weekly Turbo Hook Buy,buy,86%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,17.4921,600.19,609.81,n/a,608.81,8.62,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,17.4921,,,578.9762,,,,,,,,,,,99.5411,87.2123
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,13.3385,681.46,688.8,n/a,689.43,7.97,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,13.3385,,,646.3835,,,,,,,,,,,65.9938,97.4306
XLK,Weekly Turbo Hook Buy,buy,89%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,5.1443,138.01,140.84,n/a,140.88,2.87,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,5.1443,,,134.093,,,,,,,,,,,38.7612,35.8981
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,39.16,39.94,n/a,38.81,-0.35,2026-02-09,,open,weekly,2026-02-06,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,4.5057,157.57,160.05,n/a,156.82,-0.75,2026-02-09,,open,weekly,2026-02-06,,,,,,,4.5057,,,142.8553,,,,,,,,,,,32.0767,64.0536
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,3.5623,89.5,91.46,n/a,88.66,-0.84,2026-02-09,,open,weekly,2026-02-06,,,,,,,3.5623,,,82.73,,,,,,,,,,,7.8185,62.245
XLF,Donchian Hook Buy,buy,87%,2026-02-09,Open,04/17/26,ATR5 x 1.0,0.7677,53.7,54.47,n/a,52.49,-1.21,2026-02-10,,open,daily,2026-02-09,,,,0.7677,,,,,,,,,,53.575,54.5238,53.5525,,,,,,
VWO,Donchian T-Lines Buy,buy,81%,2026-02-09,Open,04/17/26,ATR5 x 1.0,0.8318,58.02,58.85,n/a,58.53,0.51,2026-02-10,,open,daily,2026-02-09,,,,0.8318,,,,,,,,,,56.96,55.4115,,57.2407,57.1768,,,,
XHB,Donchian T-Lines Buy,buy,90%,2026-02-09,Target Hit,04/17/26,ATR5 x 1.0,2.6935,118.06,120.75,n/a,118.91,0.85,2026-02-10,2026-02-11,1,daily,2026-02-09,,,,2.6935,,,,,,,,,,112.735,109.461,,112.9953,112.6049,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-09,Open,04/17/26,Weekly ATR5 x 0.55,21.0377,615.3,626.88,n/a,608.81,-6.5,2026-02-10,,open,weekly,2026-02-09,,,,,gold,gold,21.0377,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-09,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.7934,52.15,53.14,n/a,52.96,0.81,2026-02-10,2026-02-11,1,weekly,2026-02-09,,,,,gold,gold,1.7934,,,,,,,,,,,,,,,
TLT,Donchian Hook Buy,buy,93%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,n/a,89.41,1.37,2026-02-11,2026-02-12,1,daily,2026-02-10,,,,0.6354,,,,,,,,,,87.4792,87.592,87.4592,,,,,,
SPY,Donchian T-Lines Buy,buy,90%,2026-02-10,Open,04/17/26,ATR5 x 1.0,41.1323,696.39,737.52,n/a,689.43,-6.96,2026-02-11,,open,daily,2026-02-10,,,,41.1323,,,,,,,,,,383.4225,687.8852,,690.3391,690.2693,,,,
TLT,Donchian T-Lines Buy,buy,87%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,n/a,89.41,1.37,2026-02-11,2026-02-12,1,daily,2026-02-10,,,,0.6354,,,,,,,,,,87.4792,87.592,,87.3021,87.2804,,,,
UNG,Donchian T-Lines Sell,sell,82%,2026-02-10,Open,04/17/26,ATR5 x 1.0,1.0072,12.06,11.05,n/a,12.01,0.05,2026-02-11,,open,daily,2026-02-10,,,,1.0072,,,,,,,,,,14.5425,12.5995,,14.1663,14.4043,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,3.539,147.81,144.27,n/a,151.86,-4.05,2026-02-11,2026-02-12,1,daily,2026-02-10,8.7799,8.8196,147.0788,3.539,,,,,,,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-10,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,39.3,40.08,n/a,38.81,-0.49,2026-02-11,,open,weekly,2026-02-10,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-10,Target Hit,04/17/26,Weekly ATR5 x 0.55,4.5057,155.18,157.66,n/a,156.82,1.64,2026-02-11,2026-02-13,2,weekly,2026-02-10,,,,,,,4.5057,,,142.8553,,,,,,,,,,,32.0767,64.0536
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-10,Target Hit,04/17/26,Weekly ATR5 x 0.55,3.5623,87.91,89.87,n/a,88.66,0.75,2026-02-11,2026-02-20,6,weekly,2026-02-10,,,,,,,3.5623,,,82.73,,,,,,,,,,,7.8185,62.245
SPY,Squeeze Play Sector Buy,buy,96%,2026-02-11,Open,04/17/26,ATR5 x 1.0,34.4978,694.24,728.74,n/a,689.43,-4.81,2026-02-12,,open,daily,2026-02-11,,,,34.4978,,,,,,,,,,,,,691.0186,690.4358,2.5832,166.8497,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-11,Open,04/17/26,Weekly ATR5 x 0.55,21.0377,614.71,626.28,n/a,608.81,-5.9,2026-02-12,,open,weekly,2026-02-11,,,,,gold,gold,21.0377,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-11,Open,04/17/26,Weekly ATR5 x 0.55,1.7934,53.67,54.66,n/a,52.96,-0.71,2026-02-12,,open,weekly,2026-02-11,,,,,gold,gold,1.7934,,,,,,,,,,,,,,,
TLT,Donchian Hook Buy,buy,93%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.7459,89.63,90.38,n/a,89.41,-0.22,2026-02-13,,open,daily,2026-02-12,,,,0.7459,,,,,,,,,,87.8542,87.6558,87.4792,,,,,,
XLF,Donchian T-Lines Sell,sell,80%,2026-02-12,Open,04/17/26,ATR5 x 1.0,1.0734,51.55,50.47,n/a,52.49,-0.95,2026-02-13,,open,daily,2026-02-12,,,,1.0734,,,,,,,,,,52.91,54.353,,53.1159,53.2572,,,,
DIA,ETF Squeeze Sell,sell,82%,2026-02-12,Open,04/17/26,ATR5 x 1.0,6.9965,495.04,488.04,n/a,496.08,-1.04,2026-02-13,,open,daily,2026-02-12,4.49,5.1153,502.3995,6.9965,,,,,,,,,,,,,,,,,,
EEM,ETF Squeeze Sell,sell,83%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.9934,60.72,59.73,n/a,62.34,-1.62,2026-02-13,,open,daily,2026-02-12,1.16,1.1656,61.8313,0.9934,,,,,,,,,,,,,,,,,,
VWO,ETF Squeeze Sell,sell,90%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.7639,57.46,56.7,n/a,58.53,-1.07,2026-02-13,,open,daily,2026-02-12,0.7063,0.7213,58.5748,0.7639,,,,,,,,,,,,,,,,,,
XLE,ETF Squeeze Sell,sell,81%,2026-02-12,Open,04/17/26,ATR5 x 1.0,1.2003,53.94,52.74,n/a,54.88,-0.94,2026-02-13,,open,daily,2026-02-12,3.6385,3.6534,55.1645,1.2003,,,,,,,,,,,,,,,,,,
XLI,ETF Squeeze Sell,sell,88%,2026-02-12,Open,04/17/26,ATR5 x 1.0,3.0403,173.1,170.06,n/a,177.23,-4.13,2026-02-13,,open,daily,2026-02-12,4.8999,5.047,175.3236,3.0403,,,,,,,,,,,,,,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-12,Open,04/17/26,ATR5 x 1.0,4.2013,144.28,140.08,n/a,151.86,-7.58,2026-02-13,,open,daily,2026-02-12,9.0552,9.3346,149.4438,4.2013,,,,,,,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,38.14,38.92,n/a,38.81,0.67,2026-02-13,,open,weekly,2026-02-12,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,4.5057,156.52,159.0,n/a,156.82,0.3,2026-02-13,,open,weekly,2026-02-12,,,,,,,4.5057,,,142.8553,,,,,,,,,,,32.0767,64.0536
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-12,Target Hit,04/17/26,Weekly ATR5 x 0.55,3.5623,87.24,89.2,n/a,88.66,1.42,2026-02-13,2026-02-20,4,weekly,2026-02-12,,,,,,,3.5623,,,82.73,,,,,,,,,,,7.8185,62.245
XLV,Donchian Hook Buy,buy,89%,2026-02-13,Open,04/17/26,ATR5 x 1.0,2.2766,158.03,160.3,n/a,156.82,-1.21,2026-02-17,,open,daily,2026-02-13,,,,2.2766,,,,,,,,,,156.045,156.1317,155.8078,,,,,,
TLT,Weekly 10.5 Squeeze Buy,buy,83%,2026-02-13,Open,04/17/26,Weekly ATR5 x 0.55,1.5937,89.93,90.81,n/a,89.41,-0.52,2026-02-17,,open,weekly,2026-02-13,,,,,,,1.5937,,,87.8925,-1.7294,-1.9551,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-13,Target Hit,04/17/26,Weekly ATR5 x 0.55,21.0502,598.38,609.95,n/a,608.81,10.43,2026-02-17,2026-02-20,3,weekly,2026-02-13,,,,,gold,gold,21.0502,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-13,Open,04/17/26,Weekly ATR5 x 0.55,2.0097,52.7,53.81,n/a,52.96,0.26,2026-02-17,,open,weekly,2026-02-13,,,,,gold,gold,2.0097,,,,,,,,,,,,,,,
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-13,Open,04/17/26,Weekly ATR5 x 0.55,112.9334,680.14,742.25,n/a,689.43,9.29,2026-02-17,,open,weekly,2026-02-13,,,,,,,112.9334,,,652.4152,,,,,,,,,,,35.6417,41.2979
EEM,ETF Squeeze Sell,sell,83%,2026-02-17,Open,04/17/26,ATR5 x 1.0,0.9945,61.03,60.04,n/a,62.34,-1.31,2026-02-18,,open,daily,2026-02-17,1.1702,1.2112,61.9014,0.9945,,,,,,,,,,,,,,,,,,
XLB,ETF Squeeze Sell,sell,86%,2026-02-17,Open,04/17/26,ATR5 x 1.0,1.1295,53.0,51.87,n/a,52.96,0.04,2026-02-18,,open,daily,2026-02-17,2.2101,2.297,53.8363,1.1295,,,,,,,,,,,,,,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-17,Open,04/17/26,ATR5 x 1.0,4.6673,146.72,142.05,n/a,151.86,-5.14,2026-02-18,,open,daily,2026-02-17,8.5023,9.083,151.2269,4.6673,,,,,,,,,,,,,,,,,,
XLI,Squeeze Play Sector Buy,buy,95%,2026-02-17,Open,04/17/26,ATR5 x 1.0,2.887,175.38,178.27,n/a,177.23,1.85,2026-02-18,,open,daily,2026-02-17,,,,2.887,,,,,,,,,,,,,175.0369,172.053,-0.1912,5.4174,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-17,Open,04/17/26,Weekly ATR5 x 0.55,1.4564,38.76,39.56,n/a,38.81,0.05,2026-02-18,,open,weekly,2026-02-17,,,,,gold,gold,1.4564,,,,,,,,,,,,,,,
USO,Donchian T-Lines Buy,buy,91%,2026-02-18,Open,04/17/26,ATR5 x 1.0,2.2815,80.43,82.71,n/a,80.85,0.42,2026-02-19,,open,daily,2026-02-18,,,,2.2815,,,,,,,,,,77.42,73.3747,,78.5679,78.4729,,,,
EFA,ETF Squeeze Sell,sell,77%,2026-02-18,Open,04/17/26,ATR5 x 1.0,1.1551,103.54,102.38,n/a,104.9,-1.36,2026-02-19,,open,daily,2026-02-18,2.6839,2.7817,105.4597,1.1551,,,,,,,,,,,,,,,,,,
EWG,ETF Squeeze Sell,sell,78%,2026-02-18,Open,04/17/26,ATR5 x 1.0,0.4978,43.75,43.25,n/a,44.32,-0.57,2026-02-19,,open,daily,2026-02-18,0.5184,0.5479,44.4741,0.4978,,,,,,,,,,,,,,,,,,
XLI,ETF Squeeze Sell,sell,88%,2026-02-18,Open,04/17/26,ATR5 x 1.0,2.6336,175.06,172.43,n/a,177.23,-2.17,2026-02-19,,open,daily,2026-02-18,5.3418,5.4174,176.7922,2.6336,,,,,,,,,,,,,,,,,,
TLT,Weekly 10.5 Squeeze Buy,buy,83%,2026-02-18,Open,04/17/26,Weekly ATR5 x 0.55,1.5937,89.4,90.28,n/a,89.41,0.01,2026-02-19,,open,weekly,2026-02-18,,,,,,,1.5937,,,87.8925,-1.7294,-1.9551,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-18,Open,04/17/26,Weekly ATR5 x 0.55,21.0502,602.81,614.39,n/a,608.81,6.0,2026-02-19,,open,weekly,2026-02-18,,,,,gold,gold,21.0502,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-18,Open,04/17/26,Weekly ATR5 x 0.55,2.0097,52.65,53.76,n/a,52.96,0.31,2026-02-19,,open,weekly,2026-02-18,,,,,gold,gold,2.0097,,,,,,,,,,,,,,,
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-18,Open,04/17/26,Weekly ATR5 x 0.55,112.9334,683.84,745.95,n/a,689.43,5.59,2026-02-19,,open,weekly,2026-02-18,,,,,,,112.9334,,,652.4152,,,,,,,,,,,35.6417,41.2979
IWM,Donchian T-Lines Buy,buy,89%,2026-02-19,Open,04/17/26,ATR5 x 1.0,5.4931,262.85,268.34,n/a,264.61,1.76,2026-02-20,,open,daily,2026-02-19,,,,5.4931,,,,,,,,,,262.005,260.0298,,262.649,262.5896,,,,
XRT,Donchian T-Lines Buy,buy,81%,2026-02-19,Target Hit,04/17/26,ATR5 x 1.0,1.808,87.64,89.45,n/a,88.66,1.02,2026-02-20,2026-02-20,0,daily,2026-02-19,,,,1.808,,,,,,,,,,87.775,88.1558,,87.5641,87.4987,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-19,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.4564,37.94,38.74,n/a,38.81,0.87,2026-02-20,2026-02-20,0,weekly,2026-02-19,,,,,gold,gold,1.4564,,,,,,,,,,,,,,,
XLV,Donchian Hook Buy,buy,89%,2026-02-20,n/a,04/17/26,ATR5 x 1.0,1.8073,n/a,n/a,n/a,156.82,,n/a,,n/a,daily,2026-02-20,,,,1.8073,,,,,,,,,,156.38,156.4112,156.1,,,,,,
XRT,Donchian Hook Buy,buy,87%,2026-02-20,n/a,04/17/26,ATR5 x 1.0,2.0544,n/a,n/a,n/a,88.66,,n/a,,n/a,daily,2026-02-20,,,,2.0544,,,,,,,,,,87.95,88.1935,87.775,,,,,,
GDX,Donchian T-Lines Buy,buy,92%,2026-02-20,n/a,04/17/26,ATR5 x 1.0,4.8015,n/a,n/a,n/a,106.26,,n/a,,n/a,daily,2026-02-20,,,,4.8015,,,,,,,,,,99.235,97.7578,,100.83,100.5854,,,,
FXI,Weekly 10.5 Squeeze Buy,buy,87%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,1.3611,n/a,n/a,n/a,38.81,,n/a,,n/a,weekly,2026-02-20,,,,,,,1.3611,,,38.6568,-0.702,-0.7989,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,20.2421,n/a,n/a,n/a,608.81,,n/a,,n/a,weekly,2026-02-20,,,,,gold,gold,20.2421,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,1.8598,n/a,n/a,n/a,52.96,,n/a,,n/a,weekly,2026-02-20,,,,,gold,gold,1.8598,,,,,,,,,,,,,,,
IBB,Weekly Turbo Hook Buy,buy,84%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,6.3932,n/a,n/a,n/a,174.39,,n/a,,n/a,weekly,2026-02-20,,,,,,,6.3932,,,150.5785,,,,,,,,,,,50.9853,88.9277
SLV,Weekly Turbo Hook Buy,buy,72%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,13.6791,n/a,n/a,n/a,76.62,,n/a,,n/a,weekly,2026-02-20,,,,,,,13.6791,,,47.8917,,,,,,,,,,,-61.5736,35.8675
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-20,n/a,04/17/26,Weekly ATR5 x 0.55,3.6191,n/a,n/a,n/a,88.66,,n/a,,n/a,weekly,2026-02-20,,,,,,,3.6191,,,83.4712,,,,,,,,,,,-15.964,51.3053
